ZIP,sdi_score,quintile
1001,33,2
1002,65,4
1003,65,4
1005,23,2
1007,25,2
1008,4,1
1009,73,4
1010,17,1
1011,17,1
1012,15,1
1013,84,5
1020,56,3
1022,43,3
1026,10,1
1027,32,2
1028,12,1
1029,30,2
1030,24,2
1031,65,4
1032,2,1
1033,12,1
1034,15,1
1035,14,1
1036,10,1
1037,10,1
1038,9,1
1039,13,1
1040,95,5
1050,24,2
1053,49,3
1054,7,1
1056,28,2
1057,23,2
1060,58,3
1062,45,3
1063,1,1
1066,10,1
1068,11,1
1069,40,3
1070,17,1
1071,3,1
1072,18,1
1073,11,1
1074,43,3
1075,32,2
1077,15,1
1079,50,3
1080,74,4
1081,29,2
1082,54,3
1083,48,3
1084,13,1
1085,44,3
1086,1,1
1088,40,3
1089,62,4
1092,62,4
1093,9,1
1094,55,3
1095,8,1
1096,13,1
1097,10,1
1098,17,1
1103,100,5
1104,96,5
1105,100,5
1106,4,1
1107,100,5
1108,96,5
1109,95,5
1118,53,3
1119,70,4
1128,11,1
1129,43,3
1151,96,5
1199,NA,NA
1201,68,4
1220,46,3
1222,17,1
1223,16,1
1224,48,3
1225,14,1
1226,26,2
1229,6,1
1230,30,2
1235,15,1
1236,15,1
1237,11,1
1238,35,2
1240,41,3
1242,22,2
1243,2,1
1244,34,2
1245,13,1
1247,71,4
1253,14,1
1254,4,1
1255,21,2
1256,29,2
1257,22,2
1258,1,1
1259,8,1
1260,63,4
1262,41,3
1264,22,2
1266,2,1
1267,22,2
1270,4,1
1301,52,3
1330,13,1
1331,54,3
1337,18,1
1338,9,1
1339,31,2
1340,21,2
1341,2,1
1342,19,1
1343,6,1
1344,32,2
1346,16,1
1347,24,2
1349,25,2
1350,15,1
1351,18,1
1354,9,1
1355,20,2
1360,11,1
1364,66,4
1366,4,1
1367,40,3
1368,32,2
1370,25,2
1373,11,1
1375,49,3
1376,81,5
1378,13,1
1379,27,2
1420,84,5
1430,4,1
1431,16,1
1432,40,3
1434,20,2
1436,28,2
1438,42,3
1440,82,5
1450,2,1
1451,9,1
1452,6,1
1453,71,4
1460,4,1
1462,21,2
1463,12,1
1464,46,3
1467,11,1
1468,11,1
1469,6,1
1473,8,1
1474,7,1
1475,35,2
1501,10,1
1503,3,1
1504,24,2
1505,2,1
1506,22,2
1507,10,1
1510,56,3
1515,11,1
1516,11,1
1518,19,1
1519,4,1
1520,4,1
1521,17,1
1522,2,1
1523,24,2
1524,20,2
1525,24,2
1527,20,2
1529,27,2
1531,10,1
1532,5,1
1534,20,2
1535,22,2
1536,11,1
1537,33,2
1540,18,1
1541,4,1
1542,14,1
1543,2,1
1545,15,1
1550,81,5
1560,40,3
1561,54,3
1562,39,2
1564,7,1
1566,2,1
1568,11,1
1569,16,1
1570,76,4
1571,35,2
1581,19,1
1583,21,2
1585,30,2
1588,38,2
1590,4,1
1602,50,3
1603,89,5
1604,83,5
1605,93,5
1606,42,3
1607,81,5
1608,100,5
1609,86,5
1610,99,5
1611,28,2
1612,2,1
1701,10,1
1702,79,4
1718,4,1
1719,7,1
1720,5,1
1721,3,1
1730,13,1
1731,31,2
1740,1,1
1741,1,1
1742,10,1
1745,3,1
1746,6,1
1747,14,1
1748,2,1
1749,21,2
1752,43,3
1754,22,2
1756,3,1
1757,44,3
1760,9,1
1770,1,1
1772,2,1
1773,2,1
1775,2,1
1776,1,1
1778,2,1
1801,39,2
1803,19,1
